q_250,q_10,q_90,q_975,x_mean,index
-401.63039112954544,-374.80579752121287,-279.2727940134111,-254.95871560469902,-327.5626161396964,11
-384.92887775484,-360.36386262450924,-266.8156726746723,-241.80372135729283,-313.3035099686226,9
-531.3882412884742,-515.7895735497536,-459.77596692893536,-440.65370830455083,-487.8215754208359,73
-388.393236208077,-364.63621720083944,-271.604038589801,-242.50894127959842,-319.9865599300636,100
-524.7930952507644,-505.44257336618335,-441.5210190580019,-419.9292294575154,-475.13322880246915,36
-436.7851617235226,-410.78663013810444,-314.23548570073825,-290.48841646578035,-361.67733282411416,89
-527.0698449006746,-512.8503333635235,-465.47847456968805,-451.7151839797592,-489.180167051947,57
-533.1162391839264,-517.9298213602675,-467.4972080126021,-454.2456875295853,-492.1813640309178,65
-516.5998534469634,-500.8025314707802,-439.99495995627876,-419.71544788539893,-472.05720208887584,33
-519.5983235168896,-500.2220747386704,-414.09379114211197,-390.6164966258591,-457.5059625836291,77
-514.6510892211302,-498.73117806500295,-436.2330159808455,-414.7549183105363,-468.89207520181054,27
-470.7576161912871,-446.92034714102675,-343.09471504001255,-316.3631808086333,-394.62773236616414,18
-522.7114106736651,-509.59313719017445,-463.6436867677041,-450.110476586044,-486.74345291128225,52
-510.60777529215443,-494.6182634890815,-421.10685107108907,-396.8399368529137,-460.1896397953532,24
-511.87814626316907,-498.26481776921656,-440.8783303954639,-423.5117307895223,-471.26548876546235,30
-530.5022733956644,-514.3006303785078,-466.0450861620907,-451.71591095873754,-490.18802343764804,59
-530.5022733956644,-514.3006303785078,-466.0450861620907,-451.71591095873754,-490.18802343764804,61
-353.2228101542634,-325.5346279942648,-221.26099595276625,-188.89816310927665,-274.4038295781557,2
-360.4272460002539,-338.87130754115367,-251.66645750793157,-227.57455965326858,-295.0506237223861,7
-511.87814626317,-498.26481776921656,-440.8783303954647,-423.5117307895267,-471.26548876546246,32
-518.0870669688462,-497.29419212085367,-410.8110317868962,-387.94764115710404,-454.3344816443545,78
-436.7851617235226,-410.78663013810444,-314.23548570073825,-290.48841646578035,-361.67733282411416,88
-532.289648410172,-516.6855095806457,-462.2440279944233,-443.57856438762803,-489.1332847281042,70
-404.4646007680076,-382.86363153811726,-301.0572662759043,-278.9654511971724,-341.8313717221991,92
-526.2125887071123,-510.50120402579955,-462.2452275918561,-447.40006211525474,-486.7097297708293,44
-532.2896484101728,-516.6855095806508,-462.2440279944257,-443.57856438762803,-489.13328472810514,71
